law_id: 332AC0000000026
law_num: 昭和三十二年法律第二十六号

law_revision_id	amendment_enforcement_date	current_revision_status	amendment_law_num	amendment_law_title
332AC0000000026_20210101_430AC0000000007	2021-01-01	PreviousEnforced	平成三十年法律第七号	所得税法等の一部を改正する法律
332AC0000000026_20201228_502AC0000000068	2020-12-28	PreviousEnforced	令和二年法律第六十八号	平成三十二年東京オリンピック競技大会・東京パラリンピック競技大会特別措置法等の一部を改正する法律
332AC0000000026_20201201_430AC0000000095	2020-12-01	PreviousEnforced	平成三十年法律第九十五号	漁業法等の一部を改正する等の法律
332AC0000000026_20201125_502AC0000000008	2020-11-25	PreviousEnforced	令和二年法律第八号	所得税法等の一部を改正する法律
332AC0000000026_20201001_502AC0000000058	2020-10-01	PreviousEnforced	令和二年法律第五十八号	中小企業の事業承継の促進のための中小企業における経営の承継の円滑化に関する法律等の一部を改正する法律
332AC0000000026_20201001_502AC0000000021	2020-10-01	PreviousEnforced	令和二年法律第二十一号	家畜改良増殖法の一部を改正する法律
332AC0000000026_20201001_502AC0000000008	2020-10-01	PreviousEnforced	令和二年法律第八号	所得税法等の一部を改正する法律
332AC0000000026_20201001_430AC0000000007	2020-10-01	PreviousEnforced	平成三十年法律第七号	所得税法等の一部を改正する法律
332AC0000000026_20201001_429AC0000000004	2020-10-01	PreviousEnforced	平成二十九年法律第四号	所得税法等の一部を改正する等の法律
332AC0000000026_20200907_502AC0000000008	2020-09-07	PreviousEnforced	令和二年法律第八号	所得税法等の一部を改正する法律
332AC0000000026_20200831_502AC0000000008	2020-08-31	PreviousEnforced	令和二年法律第八号	所得税法等の一部を改正する法律
332AC0000000026_20200814_502AC0000000059	2020-08-14	PreviousEnforced	令和二年法律第五十九号	金融機能の強化のための特別措置に関する法律の一部を改正する法律
332AC0000000026_20200701_502AC0000000008	2020-07-01	PreviousEnforced	令和二年法律第八号	所得税法等の一部を改正する法律
332AC0000000026_20200612_502AC0000000049	2020-06-12	PreviousEnforced	令和二年法律第四十九号	強靱かつ持続可能な電気供給体制の確立を図るための電気事業法等の一部を改正する法律
332AC0000000026_20200501_502AC0000000008	2020-05-01	PreviousEnforced	令和二年法律第八号	所得税法等の一部を改正する法律
332AC0000000026_20200401_502AC0000000008	2020-04-01	PreviousEnforced	令和二年法律第八号	所得税法等の一部を改正する法律
332AC0000000026_20200401_501AC0000000014	2020-04-01	PreviousEnforced	令和元年法律第十四号	道路運送車両法の一部を改正する法律
332AC0000000026_20200401_431AC0000000006	2020-04-01	PreviousEnforced	平成三十一年法律第六号	所得税法等の一部を改正する法律
332AC0000000026_20200401_430AC0000000007	2020-04-01	PreviousEnforced	平成三十年法律第七号	所得税法等の一部を改正する法律
332AC0000000026_20200331_502AC0000000011	2020-03-31	PreviousEnforced	令和二年法律第十一号	市町村の合併の特例に関する法律の一部を改正する法律
332AC0000000026_20200101_501AC0000000016	2020-01-01	PreviousEnforced	令和元年法律第十六号	情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るための行政手続等における情報通信の技術の利用に関する法律等の一部を改正する法律
332AC0000000026_20200101_431AC0000000006	2020-01-01	PreviousEnforced	平成三十一年法律第六号	所得税法等の一部を改正する法律
332AC0000000026_20200101_430AC0000000007	2020-01-01	PreviousEnforced	平成三十年法律第七号	所得税法等の一部を改正する法律
332AC0000000026_20191216_501AC0000000016	2019-12-16	PreviousEnforced	令和元年法律第十六号	情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るための行政手続等における情報通信の技術の利用に関する法律等の一部を改正する法律
332AC0000000026_20191101_431AC0000000006	2019-11-01	PreviousEnforced	平成三十一年法律第六号	所得税法等の一部を改正する法律
332AC0000000026_20191001_431AC0000000006	2019-10-01	PreviousEnforced	平成三十一年法律第六号	所得税法等の一部を改正する法律
332AC0000000026_20191001_428AC0000000015	2019-10-01	PreviousEnforced	平成二十八年法律第十五号	所得税法等の一部を改正する法律
332AC0000000026_20190716_431AC0000000006	2019-07-16	PreviousEnforced	平成三十一年法律第六号	所得税法等の一部を改正する法律
332AC0000000026_20190701_431AC0000000006	2019-07-01	PreviousEnforced	平成三十一年法律第六号	所得税法等の一部を改正する法律
332AC0000000026_20190601_431AC0000000006	2019-06-01	PreviousEnforced	平成三十一年法律第六号	所得税法等の一部を改正する法律
332AC0000000026_20190501_431AC0000000006	2019-05-01	PreviousEnforced	平成三十一年法律第六号	所得税法等の一部を改正する法律
332AC0000000026_20190401_431AC0000000006	2019-04-01	PreviousEnforced	平成三十一年法律第六号	所得税法等の一部を改正する法律
332AC0000000026_20190401_430AC0000000007	2019-04-01	PreviousEnforced	平成三十年法律第七号	所得税法等の一部を改正する法律
332AC0000000026_20190401_429AC0000000004	2019-04-01	PreviousEnforced	平成二十九年法律第四号	所得税法等の一部を改正する等の法律
332AC0000000026_20190107_430AC0000000016	2019-01-07	PreviousEnforced	平成三十年法律第十六号	国際観光旅客税法
332AC0000000026_20190101_430AC0000000007	2019-01-01	PreviousEnforced	平成三十年法律第七号	所得税法等の一部を改正する法律
332AC0000000026_20181201_430AC0000000007	2018-12-01	PreviousEnforced	平成三十年法律第七号	所得税法等の一部を改正する法律
332AC0000000026_20181116_430AC0000000007	2018-11-16	PreviousEnforced	平成三十年法律第七号	所得税法等の一部を改正する法律
332AC0000000026_20181115_430AC0000000007	2018-11-15	PreviousEnforced	平成三十年法律第七号	所得税法等の一部を改正する法律
332AC0000000026_20181022_430AC0000000062	2018-10-22	PreviousEnforced	平成三十年法律第六十二号	卸売市場法及び食品流通構造改善促進法の一部を改正する法律
332AC0000000026_20181001_430AC0000000007	2018-10-01	PreviousEnforced	平成三十年法律第七号	所得税法等の一部を改正する法律
332AC0000000026_20181001_429AC0000000015	2018-10-01	PreviousEnforced	平成二十九年法律第十五号	原子力利用における安全対策の強化のための核原料物質、核燃料物質及び原子炉の規制に関する法律等の一部を改正する法律
332AC0000000026_20180930_430AC0000000007	2018-09-30	PreviousEnforced	平成三十年法律第七号	所得税法等の一部を改正する法律
332AC0000000026_20180925_430AC0000000007	2018-09-25	PreviousEnforced	平成三十年法律第七号	所得税法等の一部を改正する法律
332AC0000000026_20180901_430AC0000000007	2018-09-01	PreviousEnforced	平成三十年法律第七号	所得税法等の一部を改正する法律
332AC0000000026_20180715_430AC0000000007	2018-07-15	PreviousEnforced	平成三十年法律第七号	所得税法等の一部を改正する法律
332AC0000000026_20180709_430AC0000000007	2018-07-09	PreviousEnforced	平成三十年法律第七号	所得税法等の一部を改正する法律
332AC0000000026_20180622_430AC0000000062	2018-06-22	PreviousEnforced	平成三十年法律第六十二号	卸売市場法及び食品流通構造改善促進法の一部を改正する法律
332AC0000000026_20180606_430AC0000000007	2018-06-06	PreviousEnforced	平成三十年法律第七号	所得税法等の一部を改正する法律
