doc_id	jurisdiction	source_url	source_basename	is_synth	file	text_file	page_count
ireland--ireland1974-jp-en	Ireland	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Ireland1974_jp_en.pdf	Ireland1974_jp_en.pdf	False	source/raw/ireland--ireland1974-jp-en.pdf	source/text/ireland--ireland1974-jp-en.txt	32
ireland--ireland1974-en-jp-en	Ireland	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Ireland1974_EN_jp_en.pdf	Ireland1974_EN_jp_en.pdf	False	source/raw/ireland--ireland1974-en-jp-en.pdf	source/text/ireland--ireland1974-en-jp-en.txt	3
ireland--synthesizedtextforjapan-ireland-jp	Ireland	http://www.mof.go.jp/tax_policy/summary/international/press_release/SynthesizedTextforJapan_Ireland_JP.pdf	SynthesizedTextforJapan_Ireland_JP.pdf	True	source/raw/ireland--synthesizedtextforjapan-ireland-jp.pdf	source/text/ireland--synthesizedtextforjapan-ireland-jp.txt	30
italy--italy1969-jp-en	Italy	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Italy1969_jp_en.pdf	Italy1969_jp_en.pdf	False	source/raw/italy--italy1969-jp-en.pdf	source/text/italy--italy1969-jp-en.txt	43
italy--italy1969-en-jp-en	Italy	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Italy1969_EN_jp_en.pdf	Italy1969_EN_jp_en.pdf	False	source/raw/italy--italy1969-en-jp-en.pdf	source/text/italy--italy1969-en-jp-en.txt	3
italy--italy-st-jp	Italy	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Italy_ST_jp.pdf	Italy_ST_jp.pdf	True	source/raw/italy--italy-st-jp.pdf	source/text/italy--italy-st-jp.txt	29
italy--italy1980-p-jp-en	Italy	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Italy1980_P_jp_en.pdf	Italy1980_P_jp_en.pdf	False	source/raw/italy--italy1980-p-jp-en.pdf	source/text/italy--italy1980-p-jp-en.txt	7
korea--korea1998-jp-en	Korea	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Korea1998_jp_en.pdf	Korea1998_jp_en.pdf	False	source/raw/korea--korea1998-jp-en.pdf	source/text/korea--korea1998-jp-en.txt	30
korea--200710kor-j	Korea	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/200710kor_j.pdf	200710kor_j.pdf	False	source/raw/korea--200710kor-j.pdf	source/text/korea--200710kor-j.txt	25
kuwait--sy220217ku-a	Kuwait	https://www.mof.go.jp/tax_policy/summary/international/press_release/sy220217ku_a.pdf	sy220217ku_a.pdf	False	source/raw/kuwait--sy220217ku-a.pdf	source/text/kuwait--sy220217ku-a.txt	46
malaysia--malaysia1999-jp-en	Malaysia	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Malaysia1999_jp_en.pdf	Malaysia1999_jp_en.pdf	False	source/raw/malaysia--malaysia1999-jp-en.pdf	source/text/malaysia--malaysia1999-jp-en.txt	30
malaysia--synthesizedtextforjapan-malaysia-jp	Malaysia	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_Malaysia_JP.pdf	SynthesizedTextforJapan_Malaysia_JP.pdf	True	source/raw/malaysia--synthesizedtextforjapan-malaysia-jp.pdf	source/text/malaysia--synthesizedtextforjapan-malaysia-jp.txt	28
mexico--mexico1996-jp-en	Mexico	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Mexico1996_jp_en.pdf	Mexico1996_jp_en.pdf	False	source/raw/mexico--mexico1996-jp-en.pdf	source/text/mexico--mexico1996-jp-en.txt	34
mexico--synthesizedtextforjapan-mexico-jp	Mexico	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_Mexico_JP.pdf	SynthesizedTextforJapan_Mexico_JP.pdf	True	source/raw/mexico--synthesizedtextforjapan-mexico-jp.pdf	source/text/mexico--synthesizedtextforjapan-mexico-jp.txt	33
netherlands--netherland2012-en-jp-en	Netherlands	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Netherland2012_EN_jp_en.pdf	Netherland2012_EN_jp_en.pdf	False	source/raw/netherlands--netherland2012-en-jp-en.pdf	source/text/netherlands--netherland2012-en-jp-en.txt	4
netherlands--synthesisedtextforjapan-netherlands-jp	Netherlands	http://www.mof.go.jp/tax_policy/summary/international/press_release/SynthesisedTextforJapan-Netherlands_JP.pdf	SynthesisedTextforJapan-Netherlands_JP.pdf	True	source/raw/netherlands--synthesisedtextforjapan-netherlands-jp.pdf	source/text/netherlands--synthesisedtextforjapan-netherlands-jp.txt	43
new-zealand--synthesizedtextforjapan-newzealand-jp	New Zealand	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_NewZealand_JP.pdf	SynthesizedTextforJapan_NewZealand_JP.pdf	True	source/raw/new-zealand--synthesizedtextforjapan-newzealand-jp.pdf	source/text/new-zealand--synthesizedtextforjapan-newzealand-jp.txt	43
norway--norway1992-jp-en	Norway	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Norway1992_jp_en.pdf	Norway1992_jp_en.pdf	False	source/raw/norway--norway1992-jp-en.pdf	source/text/norway--norway1992-jp-en.txt	43
norway--norway1992-en-jp-en	Norway	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Norway1992_EN_jp_en.pdf	Norway1992_EN_jp_en.pdf	False	source/raw/norway--norway1992-en-jp-en.pdf	source/text/norway--norway1992-en-jp-en.txt	3
norway--190927norway-j	Norway	http://www.mof.go.jp/tax_policy/summary/international/tax_convention/190927norway_j.pdf	190927norway_j.pdf	False	source/raw/norway--190927norway-j.pdf	source/text/norway--190927norway-j.txt	28
philippines--philippines1980-jp-en	Philippines	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Philippines1980_jp_en.pdf	Philippines1980_jp_en.pdf	False	source/raw/philippines--philippines1980-jp-en.pdf	source/text/philippines--philippines1980-jp-en.txt	44
philippines--philippines1980-en-jp-en	Philippines	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Philippines1980_EN_jp_en.pdf	Philippines1980_EN_jp_en.pdf	False	source/raw/philippines--philippines1980-en-jp-en.pdf	source/text/philippines--philippines1980-en-jp-en.txt	3
philippines--philippines-st-jp	Philippines	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Philippines_ST_jp.pdf	Philippines_ST_jp.pdf	True	source/raw/philippines--philippines-st-jp.pdf	source/text/philippines--philippines-st-jp.txt	42
qatar--200221qat-j	Qatar	http://www.mof.go.jp/tax_policy/summary/international/tax_convention/200221qat_j.pdf	200221qat_j.pdf	False	source/raw/qatar--200221qat-j.pdf	source/text/qatar--200221qat-j.txt	26
russia--20170907ru-a	Russia	http://www.mof.go.jp/tax_policy/summary/international/press_release/20170907ru_a.pdf	20170907ru_a.pdf	False	source/raw/russia--20170907ru-a.pdf	source/text/russia--20170907ru-a.txt	57
saudi-arabia--saudiarabia2013-en-jp-en	Saudi Arabia	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SaudiArabia2013_EN_jp_en.pdf	SaudiArabia2013_EN_jp_en.pdf	False	source/raw/saudi-arabia--saudiarabia2013-en-jp-en.pdf	source/text/saudi-arabia--saudiarabia2013-en-jp-en.txt	5
saudi-arabia--synthesizedtextforjapan-saudiarabia-jp	Saudi Arabia	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_SaudiArabia_JP.pdf	SynthesizedTextforJapan_SaudiArabia_JP.pdf	True	source/raw/saudi-arabia--synthesizedtextforjapan-saudiarabia-jp.pdf	source/text/saudi-arabia--synthesizedtextforjapan-saudiarabia-jp.txt	29
